transaction_id,customer_id,amount,transaction_type,country,device_type,is_fraud,timestamp
TXN_100000,8270,3441.71,pos,Canada,desktop,0,2025-07-10 09:52:52
TXN_100001,1860,4185.63,atm_withdrawal,Germany,mobile,0,2025-11-17 23:58:52
TXN_100002,6390,4335.01,pos,Germany,tablet,0,2025-02-14 19:37:52
TXN_100003,6191,4193.21,bank_transfer,India,mobile,0,2025-03-10 21:18:52
TXN_100004,6734,2133.33,pos,India,mobile,0,2025-02-23 04:12:52
TXN_100005,7265,1116.77,pos,Germany,desktop,0,2025-06-20 00:58:52
TXN_100006,1466,1986.27,online,Germany,mobile,0,2025-10-13 04:26:52
TXN_100007,5426,4460.03,online,Germany,tablet,0,2025-09-03 16:10:52
TXN_100008,6578,737.29,pos,Canada,tablet,0,2025-04-11 09:29:52
TXN_100009,9322,2569.06,atm_withdrawal,Germany,tablet,0,2025-12-01 09:40:52
TXN_100010,2685,1169.97,online,UK,tablet,0,2025-01-19 22:53:52
TXN_100011,1769,2908.62,atm_withdrawal,USA,desktop,0,2025-04-19 06:32:52
TXN_100012,7949,4316.38,pos,Germany,mobile,0,2025-07-26 10:32:52
TXN_100013,3433,4402.4,pos,USA,desktop,0,2025-02-19 13:20:52
TXN_100014,6311,1187.24,bank_transfer,Canada,mobile,0,2025-07-12 00:10:52
TXN_100015,6051,4538.93,online,USA,mobile,0,2025-09-04 10:38:52
TXN_100016,7420,2961.48,pos,Canada,mobile,0,2025-09-03 11:06:52
TXN_100017,2184,1754.34,bank_transfer,UK,desktop,0,2025-05-25 03:40:52
TXN_100018,5555,3542.37,online,Canada,mobile,0,2025-11-13 00:45:52
TXN_100019,4385,2410.93,pos,Canada,desktop,0,2025-11-07 01:55:52
TXN_100020,7396,1893.05,pos,India,tablet,0,2025-10-08 21:23:52
TXN_100021,9666,3526.9,online,Germany,tablet,0,2025-03-10 21:15:52
TXN_100022,3558,1247.38,online,Germany,mobile,0,2025-04-03 21:01:52
TXN_100023,8849,1654.61,online,UK,desktop,0,2025-11-18 06:01:52
TXN_100024,3047,2175.09,pos,UK,tablet,0,2025-02-20 16:51:52
TXN_100025,3747,1272.14,pos,Germany,desktop,0,2025-10-06 01:54:52
TXN_100026,1189,2028.98,bank_transfer,India,desktop,0,2025-07-22 05:17:52
TXN_100027,3734,2859.51,atm_withdrawal,Germany,mobile,0,2025-10-18 12:46:52
TXN_100028,4005,3706.16,online,India,tablet,0,2025-11-07 06:35:52
TXN_100029,5658,3837.14,pos,UK,mobile,0,2025-08-24 15:28:52
TXN_100030,2899,4114.84,pos,USA,mobile,0,2025-10-15 22:33:52
