order_id,customer_id,product_category,quantity,unit_price,total_amount,payment_method,shipping_region,delivery_days,customer_rating,discount_percent
1001,C001,Electronics,1,79.99,79.99,Credit Card,East,3,5,0
1002,C002,Clothing,3,24.99,74.97,PayPal,West,5,4,10
1003,C003,Home,1,45.50,45.50,Debit Card,Midwest,4,5,0
1004,C004,Electronics,2,59.99,119.98,Credit Card,South,3,4,5
1005,C005,Books,1,39.99,39.99,PayPal,West,6,5,0
1006,C006,Clothing,2,54.99,109.98,Credit Card,East,4,3,15
1007,C007,Sports,1,29.99,29.99,Debit Card,South,5,5,0
1008,C008,Electronics,4,12.99,51.96,Credit Card,West,2,4,0
1009,C009,Home,2,18.50,37.00,PayPal,South,4,5,10
1010,C010,Beauty,1,32.99,32.99,Credit Card,West,3,4,0
1011,C011,Electronics,1,34.99,34.99,Debit Card,South,3,5,5
1012,C012,Clothing,1,89.99,89.99,Credit Card,East,5,4,0
1013,C013,Books,2,49.99,99.98,PayPal,South,6,5,10
1014,C014,Sports,1,19.99,19.99,Credit Card,Midwest,4,4,0
1015,C015,Home,3,14.99,44.97,Debit Card,East,3,5,0
1016,C016,Electronics,2,15.99,31.98,PayPal,West,4,3,0
1017,C017,Beauty,4,8.99,35.96,Credit Card,West,5,4,5
1018,C018,Clothing,1,64.99,64.99,Credit Card,East,4,5,0
1019,C019,Electronics,1,44.99,44.99,Debit Card,South,3,4,10
1020,C020,Books,1,54.99,54.99,PayPal,Midwest,5,5,0
1021,C021,Sports,1,79.99,79.99,Credit Card,South,6,4,0
1022,C022,Home,1,28.99,28.99,Credit Card,West,4,5,5
1023,C023,Clothing,1,34.99,34.99,Debit Card,South,4,4,0
1024,C024,Electronics,1,69.99,69.99,PayPal,West,3,3,0
1025,C025,Beauty,2,16.99,33.98,Credit Card,Midwest,5,5,0
1026,C026,Books,1,42.99,42.99,Credit Card,East,4,4,10
1027,C027,Sports,2,12.99,25.98,Debit Card,Midwest,3,5,0
1028,C028,Electronics,3,9.99,29.97,PayPal,West,4,4,0
1029,C029,Clothing,2,29.99,59.98,Credit Card,West,5,5,5
1030,C030,Home,1,24.99,24.99,Credit Card,West,4,4,0
1031,C031,Beauty,1,22.99,22.99,Debit Card,West,3,5,0
1032,C032,Electronics,1,89.99,89.99,PayPal,East,4,4,15
1033,C033,Books,2,34.99,69.98,Credit Card,Midwest,5,5,0
1034,C034,Sports,1,24.99,24.99,Credit Card,West,4,4,5
1035,C035,Clothing,1,49.99,49.99,Debit Card,East,3,4,0
1036,C036,Home,2,19.99,39.98,PayPal,East,4,5,10
1037,C037,Electronics,1,19.99,19.99,Credit Card,Midwest,3,4,0
1038,C038,Beauty,1,38.99,38.99,Credit Card,East,5,5,0
1039,C039,Books,1,59.99,59.99,Debit Card,West,4,4,5
1040,C040,Sports,3,7.99,23.97,PayPal,Midwest,4,5,0
1041,C041,Clothing,1,44.99,44.99,Credit Card,South,5,3,0
1042,C042,Electronics,1,49.99,49.99,Credit Card,Midwest,4,5,10
1043,C043,Home,1,79.99,79.99,Debit Card,South,3,4,0
1044,C044,Beauty,1,28.99,28.99,PayPal,South,5,5,0
1045,C045,Books,1,44.99,44.99,Credit Card,West,6,4,5
1046,C046,Sports,2,14.99,29.98,Credit Card,East,3,5,0
1047,C047,Clothing,2,32.99,65.98,Debit Card,West,7,4,0
1048,C048,Electronics,1,29.99,29.99,PayPal,West,4,4,10
1049,C049,Home,1,34.99,34.99,Credit Card,West,3,5,0
1050,C050,Beauty,2,15.99,31.98,Credit Card,West,4,5,5
1051,C001,Electronics,1,49.99,49.99,Credit Card,East,2,5,0
1052,C002,Clothing,2,27.99,55.98,PayPal,West,4,4,10
1053,C003,Home,1,22.50,22.50,Debit Card,Midwest,3,5,0
1054,C004,Electronics,1,24.99,24.99,Credit Card,South,3,4,0
1055,C005,Books,1,64.99,64.99,PayPal,West,5,5,5
1056,C006,Clothing,1,89.99,89.99,Credit Card,East,4,5,0
1057,C007,Sports,1,34.99,34.99,Debit Card,South,5,4,0
1058,C008,Electronics,3,8.99,26.97,Credit Card,West,2,3,0
1059,C009,Home,1,39.99,39.99,PayPal,South,4,5,10
1060,C010,Beauty,1,24.99,24.99,Credit Card,West,3,4,0
1061,C011,Electronics,1,29.99,29.99,Debit Card,South,3,5,5
1062,C012,Clothing,1,129.99,129.99,Credit Card,East,5,4,0
1063,C013,Books,1,52.99,52.99,PayPal,South,6,5,0
1064,C014,Sports,1,44.99,44.99,Credit Card,Midwest,4,5,10
1065,C015,Home,1,54.99,54.99,Debit Card,East,3,4,0
1066,C016,Electronics,1,64.99,64.99,PayPal,West,4,5,0
1067,C017,Beauty,1,74.99,74.99,Credit Card,West,5,5,5
1068,C018,Clothing,1,44.99,44.99,Credit Card,East,4,4,0
