user_id,date,activity_type,duration_minutes,calories_burned,distance_km,avg_heart_rate,steps,sleep_hours,water_intake_liters,weight_kg,bmi,fitness_goal,age,gender
U002,2024-07-25,Swimming,27,204,1.54,150,13951,8.6,3.1,109.3,32.7,Muscle Gain,32,Female
U003,2024-09-12,Weight Training,54,477,0,101,2102,6.0,3.5,102.8,37.3,Flexibility,34,Male
U004,2024-06-13,CrossFit,79,848,0,164,15909,9.1,1.4,78.3,25.0,Weight Loss,26,Male
U005,2024-06-23,CrossFit,78,569,0,102,6390,5.4,2.1,83.8,27.3,Endurance,34,Male
U006,2024-05-29,Walking,96,510,11.25,166,17134,5.0,3.2,51.1,18.4,Flexibility,41,Female
U007,2024-08-25,Walking,113,930,7.25,135,4118,6.6,1.1,62.2,17.6,Weight Loss,41,Female
U008,2024-06-06,Yoga,111,1061,0,158,9532,6.9,3.2,63.0,20.7,Muscle Gain,51,Male
U009,2024-03-23,Swimming,71,502,4.07,128,18490,9.1,3.1,90.3,31.1,General Fitness,29,Female
U010,2024-06-02,Yoga,113,1159,0,157,15199,9.9,3.7,61.2,19.8,Weight Loss,46,Female
U011,2024-06-22,Walking,47,279,4.44,138,8778,4.9,3.8,101.6,30.3,Muscle Gain,53,Female
U012,2024-01-27,CrossFit,68,669,0,135,6108,5.3,2.6,93.3,26.3,Flexibility,60,Male
U013,2024-07-08,Yoga,81,925,0,156,14890,7.5,1.7,53.5,18.9,Muscle Gain,34,Male
U014,2024-06-16,HIIT,115,595,0,157,6744,6.8,2.7,94.5,25.3,General Fitness,46,Female
U015,2024-08-25,Yoga,114,577,0,114,12540,6.5,1.2,78.4,24.5,Flexibility,39,Female
U016,2024-09-01,Yoga,35,281,0,99,2905,5.4,3.3,65.6,18.4,Muscle Gain,43,Male
U017,2024-02-08,CrossFit,108,695,0,97,7769,5.1,2.9,78.9,31.1,Flexibility,41,Female
U018,2024-02-28,Walking,92,537,9.12,144,7386,4.3,1.9,87.0,27.9,Endurance,35,Female
U019,2024-04-05,Weight Training,19,144,0,103,15920,9.7,1.0,85.1,24.3,Weight Loss,29,Female
U020,2024-02-06,Running,27,323,3.75,113,15025,5.6,3.5,53.6,17.1,Flexibility,47,Male
U021,2024-01-17,Weight Training,118,1414,0,141,8357,6.7,3.3,103.3,31.0,Endurance,55,Male
U022,2024-08-13,Weight Training,38,299,0,148,8014,5.5,1.8,84.7,23.7,Muscle Gain,54,Female
U023,2024-06-15,CrossFit,70,829,0,161,2174,7.2,3.9,52.0,17.8,Endurance,21,Male
U024,2024-08-24,HIIT,93,939,0,160,12651,4.7,2.8,94.3,35.1,Muscle Gain,49,Male
U025,2024-08-07,Cycling,35,394,2.16,139,9281,6.1,1.1,108.5,34.4,Weight Loss,26,Female
U026,2024-09-07,Walking,72,559,5.98,111,16864,9.2,2.7,68.2,18.1,Endurance,57,Female
U027,2024-07-30,Running,72,724,7.24,159,16249,5.8,1.0,94.9,25.0,Weight Loss,28,Male
U028,2024-06-02,Running,100,1000,6.03,111,3522,5.0,3.3,104.2,30.1,Muscle Gain,57,Male
U029,2024-03-29,Yoga,48,422,0,94,9378,5.0,1.5,107.4,39.5,Weight Loss,28,Male
U030,2024-04-25,HIIT,23,121,0,137,12858,6.1,3.9,56.8,15.7,Endurance,36,Female
U031,2024-04-08,Running,43,472,4.65,160,11333,8.2,1.6,61.6,17.8,Muscle Gain,36,Male
U032,2024-03-03,Walking,35,320,2.21,158,2873,6.1,3.2,82.3,25.2,Muscle Gain,35,Female
